transaction_id,customer_id,transaction_date,platform,product,quantity,unit_price,subtotal,shipping_cost,platform_fee,total_amount,year,month,quarter,day_of_week,is_weekend,season
681,30,2023-01-01,mercadolibre,pajamas,3,22008,66024,0,8583.12,66024,2023,1,1,6,True,Summer
995,54,2023-01-01,mercadolibre,jackets,2,28273,56546,0,7350.98,56546,2023,1,1,6,True,Summer
1800,57,2023-01-01,mercadolibre,socks,4,3904,15616,5500,2030.08,21116,2023,1,1,6,True,Summer
308,199,2023-01-01,mercadolibre,jackets,1,30474,30474,0,3961.62,30474,2023,1,1,6,True,Summer
700,18,2023-01-03,mercadolibre,shorts,1,13211,13211,3500,1717.43,16711,2023,1,1,1,False,Summer
1490,80,2023-01-04,mercadolibre,socks,1,5961,5961,3500,774.9300000000001,9461,2023,1,1,2,False,Summer
1852,75,2023-01-04,mercadolibre,shorts,4,13457,53828,0,6997.64,53828,2023,1,1,2,False,Summer
1378,77,2023-01-05,mercadolibre,tshirts,2,11994,23988,3500,3118.44,27488,2023,1,1,3,False,Summer
82,421,2023-01-07,mercadolibre,pajamas,1,18720,18720,3500,2433.6,22220,2023,1,1,5,True,Summer
1590,87,2023-01-07,mercadolibre,tshirts,1,11711,11711,3500,1522.43,15211,2023,1,1,5,True,Summer
633,82,2023-01-07,mercadolibre,shorts,2,13675,27350,3500,3555.5,30850,2023,1,1,5,True,Summer
549,130,2023-01-08,mercadolibre,socks,2,5081,10162,5500,1321.06,15662,2023,1,1,6,True,Summer
1281,444,2023-01-08,mercadolibre,shorts,3,15298,45894,0,5966.22,45894,2023,1,1,6,True,Summer
1226,32,2023-01-09,mercadolibre,tshirts,2,9270,18540,3500,2410.2000000000003,22040,2023,1,1,0,False,Summer
297,86,2023-01-09,mercadolibre,socks,2,4172,8344,5500,1084.72,13844,2023,1,1,0,False,Summer
516,219,2023-01-10,mercadolibre,socks,1,3385,3385,5500,440.05,8885,2023,1,1,1,False,Summer
939,72,2023-01-10,mercadolibre,socks,2,3879,7758,5500,1008.54,13258,2023,1,1,1,False,Summer
1001,64,2023-01-10,mercadolibre,tshirts,3,11333,33999,0,4419.87,33999,2023,1,1,1,False,Summer
316,54,2023-01-12,mercadolibre,tshirts,4,9748,38992,0,5068.96,38992,2023,1,1,3,False,Summer
1382,455,2023-01-13,mercadolibre,socks,4,4667,18668,3500,2426.84,22168,2023,1,1,4,False,Summer
1032,266,2023-01-13,mercadolibre,pajamas,3,18797,56391,0,7330.83,56391,2023,1,1,4,False,Summer
830,32,2023-01-13,mercadolibre,towels,1,9745,9745,3500,1266.85,13245,2023,1,1,4,False,Summer
1906,190,2023-01-13,mercadolibre,jackets,1,20501,20501,3500,2665.13,24001,2023,1,1,4,False,Summer
587,94,2023-01-13,mercadolibre,tshirts,3,14808,44424,0,5775.12,44424,2023,1,1,4,False,Summer
1082,15,2023-01-14,mercadolibre,towels,3,14685,44055,0,5727.150000000001,44055,2023,1,1,5,True,Summer
1723,9,2023-01-14,mercadolibre,pajamas,1,21392,21392,3500,2780.96,24892,2023,1,1,5,True,Summer
1242,245,2023-01-14,mercadolibre,shorts,2,12553,25106,3500,3263.78,28606,2023,1,1,5,True,Summer
750,91,2023-01-14,mercadolibre,shorts,1,11738,11738,5500,1525.94,17238,2023,1,1,5,True,Summer
523,84,2023-01-15,mercadolibre,jackets,3,24768,74304,0,9659.52,74304,2023,1,1,6,True,Summer
1976,66,2023-01-16,mercadolibre,socks,3,4220,12660,5500,1645.8,18160,2023,1,1,0,False,Summer
1401,20,2023-01-16,mercadolibre,socks,3,3020,9060,5500,1177.8,14560,2023,1,1,0,False,Summer
934,243,2023-01-16,mercadolibre,socks,1,5258,5258,3500,683.5400000000001,8758,2023,1,1,0,False,Summer
1817,51,2023-01-17,mercadolibre,socks,2,3609,7218,3500,938.34,10718,2023,1,1,1,False,Summer
1697,98,2023-01-17,mercadolibre,shorts,1,15122,15122,3500,1965.86,18622,2023,1,1,1,False,Summer
832,15,2023-01-18,mercadolibre,tshirts,2,10249,20498,5500,2664.74,25998,2023,1,1,2,False,Summer
1322,108,2023-01-18,mercadolibre,jackets,1,33384,33384,0,4339.92,33384,2023,1,1,2,False,Summer
1198,432,2023-01-18,mercadolibre,socks,3,4119,12357,3500,1606.41,15857,2023,1,1,2,False,Summer
1208,482,2023-01-19,mercadolibre,jackets,4,27317,109268,0,14204.84,109268,2023,1,1,3,False,Summer
1260,146,2023-01-19,mercadolibre,pajamas,1,15425,15425,3500,2005.25,18925,2023,1,1,3,False,Summer
1587,121,2023-01-19,mercadolibre,tshirts,1,14298,14298,3500,1858.74,17798,2023,1,1,3,False,Summer
1661,69,2023-01-19,mercadolibre,jackets,2,32300,64600,0,8398.0,64600,2023,1,1,3,False,Summer
1703,86,2023-01-19,mercadolibre,socks,1,4122,4122,5500,535.86,9622,2023,1,1,3,False,Summer
35,209,2023-01-20,mercadolibre,tshirts,1,11446,11446,3500,1487.98,14946,2023,1,1,4,False,Summer
1292,53,2023-01-20,mercadolibre,tshirts,4,13164,52656,0,6845.280000000001,52656,2023,1,1,4,False,Summer
509,15,2023-01-21,mercadolibre,pajamas,3,17596,52788,0,6862.4400000000005,52788,2023,1,1,5,True,Summer
658,57,2023-01-21,mercadolibre,socks,1,3291,3291,3500,427.83,6791,2023,1,1,5,True,Summer
238,71,2023-01-22,mercadolibre,towels,3,14364,43092,0,5601.96,43092,2023,1,1,6,True,Summer
1330,289,2023-01-25,mercadolibre,socks,2,3594,7188,5500,934.44,12688,2023,1,1,2,False,Summer
327,85,2023-01-25,mercadolibre,tshirts,2,12297,24594,5500,3197.2200000000003,30094,2023,1,1,2,False,Summer
496,368,2023-01-25,mercadolibre,towels,1,8451,8451,3500,1098.63,11951,2023,1,1,2,False,Summer
723,288,2023-01-27,mercadolibre,towels,1,11636,11636,3500,1512.68,15136,2023,1,1,4,False,Summer
1758,40,2023-01-27,mercadolibre,tshirts,1,14896,14896,3500,1936.48,18396,2023,1,1,4,False,Summer
1510,66,2023-01-28,mercadolibre,shorts,1,14712,14712,3500,1912.56,18212,2023,1,1,5,True,Summer
274,474,2023-01-29,mercadolibre,pajamas,3,18786,56358,0,7326.54,56358,2023,1,1,6,True,Summer
166,11,2023-01-31,mercadolibre,socks,1,5238,5238,3500,680.94,8738,2023,1,1,1,False,Summer
1017,220,2023-02-01,mercadolibre,pajamas,4,21758,87032,0,11314.16,87032,2023,2,1,2,False,Summer
205,73,2023-02-02,mercadolibre,tshirts,1,12893,12893,3500,1676.09,16393,2023,2,1,3,False,Summer
484,50,2023-02-04,mercadolibre,pajamas,1,24107,24107,3500,3133.9100000000003,27607,2023,2,1,5,True,Summer
674,72,2023-02-04,mercadolibre,pajamas,2,15424,30848,0,4010.24,30848,2023,2,1,5,True,Summer
371,420,2023-02-04,mercadolibre,towels,1,15424,15424,3500,2005.12,18924,2023,2,1,5,True,Summer
275,48,2023-02-04,mercadolibre,shorts,3,10282,30846,0,4009.98,30846,2023,2,1,5,True,Summer
1577,151,2023-02-06,mercadolibre,pajamas,2,18979,37958,0,4934.54,37958,2023,2,1,0,False,Summer
396,7,2023-02-06,mercadolibre,jackets,2,32594,65188,0,8474.44,65188,2023,2,1,0,False,Summer
1320,90,2023-02-08,mercadolibre,tshirts,2,10866,21732,3500,2825.1600000000003,25232,2023,2,1,2,False,Summer
172,42,2023-02-08,mercadolibre,jackets,4,29857,119428,0,15525.64,119428,2023,2,1,2,False,Summer
1914,7,2023-02-09,mercadolibre,shorts,2,11715,23430,5500,3045.9,28930,2023,2,1,3,False,Summer
1418,324,2023-02-09,mercadolibre,socks,3,4141,12423,5500,1614.99,17923,2023,2,1,3,False,Summer
501,10,2023-02-11,mercadolibre,tshirts,2,12153,24306,3500,3159.78,27806,2023,2,1,5,True,Summer
43,60,2023-02-11,mercadolibre,socks,3,3263,9789,3500,1272.57,13289,2023,2,1,5,True,Summer
1694,41,2023-02-11,mercadolibre,shorts,1,16273,16273,3500,2115.49,19773,2023,2,1,5,True,Summer
993,63,2023-02-12,mercadolibre,jackets,1,32253,32253,0,4192.89,32253,2023,2,1,6,True,Summer
1566,425,2023-02-13,mercadolibre,towels,1,9070,9070,5500,1179.1,14570,2023,2,1,0,False,Summer
1581,311,2023-02-14,mercadolibre,jackets,1,33643,33643,0,4373.59,33643,2023,2,1,1,False,Summer
1829,86,2023-02-14,mercadolibre,pajamas,1,20133,20133,3500,2617.29,23633,2023,2,1,1,False,Summer
953,37,2023-02-14,mercadolibre,shorts,4,12286,49144,0,6388.72,49144,2023,2,1,1,False,Summer
1122,39,2023-02-15,mercadolibre,socks,3,5798,17394,3500,2261.2200000000003,20894,2023,2,1,2,False,Summer
68,83,2023-02-15,mercadolibre,towels,1,11970,11970,5500,1556.1,17470,2023,2,1,2,False,Summer
1753,425,2023-02-16,mercadolibre,socks,3,4801,14403,3500,1872.39,17903,2023,2,1,3,False,Summer
512,44,2023-02-17,mercadolibre,jackets,3,26327,78981,0,10267.53,78981,2023,2,1,4,False,Summer
1617,97,2023-02-18,mercadolibre,tshirts,2,13210,26420,3500,3434.6,29920,2023,2,1,5,True,Summer
1956,292,2023-02-18,mercadolibre,jackets,1,30604,30604,0,3978.52,30604,2023,2,1,5,True,Summer
1115,20,2023-02-18,mercadolibre,jackets,1,28520,28520,3500,3707.6,32020,2023,2,1,5,True,Summer
443,458,2023-02-19,mercadolibre,socks,2,5087,10174,3500,1322.62,13674,2023,2,1,6,True,Summer
716,66,2023-02-19,mercadolibre,pajamas,2,16580,33160,0,4310.8,33160,2023,2,1,6,True,Summer
1541,153,2023-02-20,mercadolibre,pajamas,2,17190,34380,0,4469.400000000001,34380,2023,2,1,0,False,Summer
1309,339,2023-02-20,mercadolibre,tshirts,2,12629,25258,3500,3283.54,28758,2023,2,1,0,False,Summer
1204,359,2023-02-20,mercadolibre,socks,2,4786,9572,3500,1244.36,13072,2023,2,1,0,False,Summer
25,52,2023-02-21,mercadolibre,shorts,2,12476,24952,3500,3243.76,28452,2023,2,1,1,False,Summer
1857,79,2023-02-21,mercadolibre,towels,2,14570,29140,3500,3788.2,32640,2023,2,1,1,False,Summer
1957,92,2023-02-21,mercadolibre,jackets,2,29496,58992,0,7668.96,58992,2023,2,1,1,False,Summer
856,446,2023-02-21,mercadolibre,socks,1,3569,3569,3500,463.97,7069,2023,2,1,1,False,Summer
265,97,2023-02-22,mercadolibre,towels,3,10813,32439,0,4217.07,32439,2023,2,1,2,False,Summer
95,301,2023-02-23,mercadolibre,socks,2,5314,10628,3500,1381.64,14128,2023,2,1,3,False,Summer
915,11,2023-02-23,mercadolibre,socks,3,4867,14601,3500,1898.13,18101,2023,2,1,3,False,Summer
1598,19,2023-02-24,mercadolibre,shorts,4,13221,52884,0,6874.92,52884,2023,2,1,4,False,Summer
1875,78,2023-02-25,mercadolibre,tshirts,3,10455,31365,0,4077.45,31365,2023,2,1,5,True,Summer
1014,22,2023-02-25,mercadolibre,socks,3,5379,16137,3500,2097.81,19637,2023,2,1,5,True,Summer
1659,58,2023-02-26,mercadolibre,tshirts,4,9520,38080,0,4950.400000000001,38080,2023,2,1,6,True,Summer
1913,2,2023-02-26,mercadolibre,towels,1,8976,8976,3500,1166.88,12476,2023,2,1,6,True,Summer
1376,37,2023-02-26,mercadolibre,shorts,1,16250,16250,5500,2112.5,21750,2023,2,1,6,True,Summer
1331,373,2023-02-26,mercadolibre,pajamas,1,19056,19056,3500,2477.28,22556,2023,2,1,6,True,Summer
1725,10,2023-02-26,mercadolibre,tshirts,1,14811,14811,3500,1925.43,18311,2023,2,1,6,True,Summer
466,55,2023-02-27,mercadolibre,towels,2,8869,17738,3500,2305.94,21238,2023,2,1,0,False,Summer
950,35,2023-02-27,mercadolibre,towels,1,11696,11696,5500,1520.48,17196,2023,2,1,0,False,Summer
814,69,2023-02-28,mercadolibre,shorts,4,14802,59208,0,7697.04,59208,2023,2,1,1,False,Summer
666,257,2023-02-28,mercadolibre,socks,2,4359,8718,3500,1133.34,12218,2023,2,1,1,False,Summer
914,131,2023-03-02,mercadolibre,socks,2,5549,11098,3500,1442.74,14598,2023,3,1,3,False,Fall
425,187,2023-03-05,mercadolibre,pajamas,2,24327,48654,0,6325.02,48654,2023,3,1,6,True,Fall
1932,113,2023-03-07,mercadolibre,jackets,3,29235,87705,0,11401.65,87705,2023,3,1,1,False,Fall
1889,460,2023-03-07,mercadolibre,pajamas,3,21840,65520,0,8517.6,65520,2023,3,1,1,False,Fall
1796,167,2023-03-09,mercadolibre,towels,2,15813,31626,0,4111.38,31626,2023,3,1,3,False,Fall
1442,47,2023-03-09,mercadolibre,socks,1,4135,4135,3500,537.5500000000001,7635,2023,3,1,3,False,Fall
1515,201,2023-03-10,mercadolibre,jackets,3,33052,99156,0,12890.28,99156,2023,3,1,4,False,Fall
969,76,2023-03-10,mercadolibre,socks,2,5559,11118,5500,1445.34,16618,2023,3,1,4,False,Fall
536,89,2023-03-10,mercadolibre,jackets,2,29789,59578,0,7745.14,59578,2023,3,1,4,False,Fall
1619,8,2023-03-10,mercadolibre,jackets,2,23332,46664,0,6066.320000000001,46664,2023,3,1,4,False,Fall
1216,92,2023-03-10,mercadolibre,socks,4,4537,18148,3500,2359.24,21648,2023,3,1,4,False,Fall
781,35,2023-03-10,mercadolibre,socks,1,4771,4771,3500,620.23,8271,2023,3,1,4,False,Fall
511,3,2023-03-11,mercadolibre,shorts,2,10515,21030,3500,2733.9,24530,2023,3,1,5,True,Fall
1933,68,2023-03-11,mercadolibre,socks,1,5664,5664,3500,736.32,9164,2023,3,1,5,True,Fall
1947,19,2023-03-11,mercadolibre,pajamas,4,18074,72296,0,9398.48,72296,2023,3,1,5,True,Fall
1317,44,2023-03-11,mercadolibre,tshirts,1,14953,14953,5500,1943.89,20453,2023,3,1,5,True,Fall
845,42,2023-03-12,mercadolibre,towels,3,10330,30990,0,4028.7,30990,2023,3,1,6,True,Fall
146,39,2023-03-12,mercadolibre,pajamas,4,24325,97300,0,12649.0,97300,2023,3,1,6,True,Fall
1140,367,2023-03-12,mercadolibre,tshirts,2,12934,25868,3500,3362.84,29368,2023,3,1,6,True,Fall
568,10,2023-03-14,mercadolibre,pajamas,1,18801,18801,3500,2444.13,22301,2023,3,1,1,False,Fall
1081,170,2023-03-14,mercadolibre,socks,1,3912,3912,3500,508.56,7412,2023,3,1,1,False,Fall
14,44,2023-03-14,mercadolibre,jackets,1,23032,23032,3500,2994.1600000000003,26532,2023,3,1,1,False,Fall
1009,85,2023-03-15,mercadolibre,pajamas,2,23157,46314,0,6020.820000000001,46314,2023,3,1,2,False,Fall
1040,498,2023-03-15,mercadolibre,tshirts,1,13121,13121,3500,1705.73,16621,2023,3,1,2,False,Fall
652,348,2023-03-16,mercadolibre,tshirts,2,9520,19040,3500,2475.2000000000003,22540,2023,3,1,3,False,Fall
473,286,2023-03-16,mercadolibre,tshirts,1,12704,12704,3500,1651.52,16204,2023,3,1,3,False,Fall
1467,4,2023-03-16,mercadolibre,pajamas,2,24779,49558,0,6442.54,49558,2023,3,1,3,False,Fall
387,40,2023-03-17,mercadolibre,shorts,1,12308,12308,3500,1600.04,15808,2023,3,1,4,False,Fall
1745,17,2023-03-17,mercadolibre,towels,4,13214,52856,0,6871.280000000001,52856,2023,3,1,4,False,Fall
33,95,2023-03-18,mercadolibre,shorts,1,15343,15343,3500,1994.59,18843,2023,3,1,5,True,Fall
655,301,2023-03-19,mercadolibre,socks,3,3551,10653,5500,1384.89,16153,2023,3,1,6,True,Fall
1834,90,2023-03-19,mercadolibre,shorts,1,11986,11986,5500,1558.18,17486,2023,3,1,6,True,Fall
108,293,2023-03-20,mercadolibre,socks,1,4207,4207,3500,546.91,7707,2023,3,1,0,False,Fall
979,51,2023-03-20,mercadolibre,socks,2,4261,8522,3500,1107.86,12022,2023,3,1,0,False,Fall
1172,26,2023-03-20,mercadolibre,towels,3,10132,30396,0,3951.48,30396,2023,3,1,0,False,Fall
539,247,2023-03-20,mercadolibre,shorts,1,13287,13287,3500,1727.31,16787,2023,3,1,0,False,Fall
740,13,2023-03-20,mercadolibre,jackets,1,25312,25312,5500,3290.56,30812,2023,3,1,0,False,Fall
840,58,2023-03-20,mercadolibre,socks,3,5557,16671,3500,2167.23,20171,2023,3,1,0,False,Fall
1094,87,2023-03-20,mercadolibre,towels,1,11502,11502,3500,1495.26,15002,2023,3,1,0,False,Fall
721,8,2023-03-20,mercadolibre,socks,2,4551,9102,3500,1183.26,12602,2023,3,1,0,False,Fall
1547,464,2023-03-21,mercadolibre,tshirts,2,12722,25444,3500,3307.7200000000003,28944,2023,3,1,1,False,Fall
942,260,2023-03-22,mercadolibre,jackets,1,28971,28971,3500,3766.23,32471,2023,3,1,2,False,Fall
1708,100,2023-03-22,mercadolibre,shorts,4,16440,65760,0,8548.800000000001,65760,2023,3,1,2,False,Fall
1263,75,2023-03-22,mercadolibre,jackets,1,32637,32637,0,4242.81,32637,2023,3,1,2,False,Fall
745,24,2023-03-23,mercadolibre,shorts,2,11112,22224,3500,2889.12,25724,2023,3,1,3,False,Fall
1761,428,2023-03-23,mercadolibre,towels,2,10244,20488,3500,2663.44,23988,2023,3,1,3,False,Fall
1079,82,2023-03-23,mercadolibre,socks,1,5327,5327,3500,692.51,8827,2023,3,1,3,False,Fall
811,34,2023-03-23,mercadolibre,tshirts,1,12454,12454,3500,1619.02,15954,2023,3,1,3,False,Fall
1973,49,2023-03-23,mercadolibre,jackets,4,32169,128676,0,16727.88,128676,2023,3,1,3,False,Fall
1570,88,2023-03-25,mercadolibre,jackets,4,30376,121504,0,15795.52,121504,2023,3,1,5,True,Fall
1209,373,2023-03-25,mercadolibre,jackets,2,27397,54794,0,7123.22,54794,2023,3,1,5,True,Fall
1614,38,2023-03-26,mercadolibre,tshirts,1,11620,11620,3500,1510.6,15120,2023,3,1,6,True,Fall
23,63,2023-03-27,mercadolibre,towels,1,9867,9867,3500,1282.71,13367,2023,3,1,0,False,Fall
1974,74,2023-03-28,mercadolibre,towels,1,12935,12935,3500,1681.55,16435,2023,3,1,1,False,Fall
122,38,2023-03-28,mercadolibre,pajamas,4,15993,63972,0,8316.36,63972,2023,3,1,1,False,Fall
685,97,2023-03-28,mercadolibre,towels,1,12639,12639,5500,1643.0700000000002,18139,2023,3,1,1,False,Fall
1350,295,2023-03-29,mercadolibre,jackets,2,30152,60304,0,7839.52,60304,2023,3,1,2,False,Fall
437,130,2023-03-29,mercadolibre,jackets,2,30637,61274,0,7965.62,61274,2023,3,1,2,False,Fall
1385,49,2023-03-31,mercadolibre,shorts,2,15620,31240,0,4061.2,31240,2023,3,1,4,False,Fall
1523,68,2023-03-31,mercadolibre,shorts,2,14080,28160,3500,3660.8,31660,2023,3,1,4,False,Fall
193,38,2023-03-31,mercadolibre,towels,1,12672,12672,3500,1647.36,16172,2023,3,1,4,False,Fall
453,440,2023-03-31,mercadolibre,jackets,1,20286,20286,5500,2637.1800000000003,25786,2023,3,1,4,False,Fall
184,316,2023-03-31,mercadolibre,jackets,1,27371,27371,5500,3558.23,32871,2023,3,1,4,False,Fall
1986,117,2023-04-02,mercadolibre,shorts,1,15826,15826,3500,2057.38,19326,2023,4,2,6,True,Fall
1103,3,2023-04-02,mercadolibre,jackets,2,33978,67956,0,8834.28,67956,2023,4,2,6,True,Fall
760,444,2023-04-03,mercadolibre,socks,2,4457,8914,5500,1158.82,14414,2023,4,2,0,False,Fall
1229,54,2023-04-03,mercadolibre,towels,1,13899,13899,3500,1806.87,17399,2023,4,2,0,False,Fall
759,45,2023-04-04,mercadolibre,tshirts,1,12803,12803,3500,1664.39,16303,2023,4,2,1,False,Fall
1065,336,2023-04-04,mercadolibre,socks,4,5830,23320,5500,3031.6,28820,2023,4,2,1,False,Fall
1641,377,2023-04-05,mercadolibre,socks,1,5457,5457,3500,709.41,8957,2023,4,2,2,False,Fall
547,21,2023-04-05,mercadolibre,shorts,3,14589,43767,0,5689.71,43767,2023,4,2,2,False,Fall
805,36,2023-04-07,mercadolibre,towels,1,11867,11867,3500,1542.71,15367,2023,4,2,4,False,Fall
1457,431,2023-04-09,mercadolibre,jackets,2,29136,58272,0,7575.360000000001,58272,2023,4,2,6,True,Fall
594,335,2023-04-09,mercadolibre,pajamas,1,23960,23960,3500,3114.8,27460,2023,4,2,6,True,Fall
1077,22,2023-04-11,mercadolibre,tshirts,1,12135,12135,3500,1577.55,15635,2023,4,2,1,False,Fall
201,17,2023-04-11,mercadolibre,towels,3,10172,30516,0,3967.08,30516,2023,4,2,1,False,Fall
1000,289,2023-04-13,mercadolibre,jackets,1,28092,28092,5500,3651.96,33592,2023,4,2,3,False,Fall
1756,222,2023-04-13,mercadolibre,towels,1,12132,12132,5500,1577.16,17632,2023,4,2,3,False,Fall
1504,45,2023-04-15,mercadolibre,tshirts,1,9173,9173,3500,1192.49,12673,2023,4,2,5,True,Fall
1474,8,2023-04-15,mercadolibre,shorts,2,14625,29250,5500,3802.5,34750,2023,4,2,5,True,Fall
819,12,2023-04-15,mercadolibre,shorts,4,12511,50044,0,6505.72,50044,2023,4,2,5,True,Fall
589,232,2023-04-16,mercadolibre,towels,4,9753,39012,0,5071.56,39012,2023,4,2,6,True,Fall
1895,13,2023-04-17,mercadolibre,pajamas,1,22424,22424,3500,2915.12,25924,2023,4,2,0,False,Fall
1815,254,2023-04-18,mercadolibre,jackets,2,20075,40150,0,5219.5,40150,2023,4,2,1,False,Fall
180,68,2023-04-18,mercadolibre,towels,1,13494,13494,3500,1754.22,16994,2023,4,2,1,False,Fall
1391,240,2023-04-18,mercadolibre,jackets,3,21351,64053,0,8326.89,64053,2023,4,2,1,False,Fall
929,475,2023-04-18,mercadolibre,tshirts,2,14776,29552,3500,3841.76,33052,2023,4,2,1,False,Fall
1750,76,2023-04-19,mercadolibre,shorts,1,12428,12428,3500,1615.64,15928,2023,4,2,2,False,Fall
342,98,2023-04-21,mercadolibre,pajamas,1,24850,24850,3500,3230.5,28350,2023,4,2,4,False,Fall
621,55,2023-04-21,mercadolibre,socks,2,4159,8318,5500,1081.34,13818,2023,4,2,4,False,Fall
367,78,2023-04-21,mercadolibre,pajamas,1,17636,17636,3500,2292.6800000000003,21136,2023,4,2,4,False,Fall
892,62,2023-04-22,mercadolibre,tshirts,1,14684,14684,5500,1908.92,20184,2023,4,2,5,True,Fall
2,53,2023-04-22,mercadolibre,socks,1,3172,3172,5500,412.36,8672,2023,4,2,5,True,Fall
1377,86,2023-04-22,mercadolibre,jackets,2,32634,65268,0,8484.84,65268,2023,4,2,5,True,Fall
455,92,2023-04-22,mercadolibre,tshirts,1,9558,9558,3500,1242.54,13058,2023,4,2,5,True,Fall
1280,94,2023-04-22,mercadolibre,socks,4,4575,18300,3500,2379.0,21800,2023,4,2,5,True,Fall
834,30,2023-04-23,mercadolibre,socks,3,5235,15705,3500,2041.65,19205,2023,4,2,6,True,Fall
306,80,2023-04-23,mercadolibre,towels,4,13078,52312,0,6800.56,52312,2023,4,2,6,True,Fall
906,392,2023-04-24,mercadolibre,pajamas,2,20528,41056,0,5337.28,41056,2023,4,2,0,False,Fall
366,202,2023-04-24,mercadolibre,shorts,1,14803,14803,3500,1924.39,18303,2023,4,2,0,False,Fall
705,247,2023-04-26,mercadolibre,shorts,1,16246,16246,5500,2111.98,21746,2023,4,2,2,False,Fall
1925,60,2023-04-26,mercadolibre,pajamas,4,21291,85164,0,11071.32,85164,2023,4,2,2,False,Fall
76,349,2023-04-26,mercadolibre,socks,2,3937,7874,3500,1023.62,11374,2023,4,2,2,False,Fall
1045,128,2023-04-27,mercadolibre,pajamas,2,22205,44410,0,5773.3,44410,2023,4,2,3,False,Fall
1923,16,2023-04-27,mercadolibre,towels,1,13830,13830,5500,1797.9,19330,2023,4,2,3,False,Fall
555,238,2023-04-27,mercadolibre,pajamas,1,18783,18783,5500,2441.79,24283,2023,4,2,3,False,Fall
1063,96,2023-04-27,mercadolibre,shorts,2,12605,25210,3500,3277.3,28710,2023,4,2,3,False,Fall
216,48,2023-04-27,mercadolibre,shorts,1,12025,12025,3500,1563.25,15525,2023,4,2,3,False,Fall
1592,340,2023-04-27,mercadolibre,towels,4,9054,36216,0,4708.08,36216,2023,4,2,3,False,Fall
359,98,2023-04-28,mercadolibre,shorts,2,16038,32076,0,4169.88,32076,2023,4,2,4,False,Fall
1130,68,2023-04-28,mercadolibre,towels,3,8426,25278,3500,3286.1400000000003,28778,2023,4,2,4,False,Fall
1691,84,2023-04-28,mercadolibre,jackets,2,25398,50796,0,6603.4800000000005,50796,2023,4,2,4,False,Fall
1824,23,2023-04-29,mercadolibre,pajamas,2,24945,49890,0,6485.7,49890,2023,4,2,5,True,Fall
1314,204,2023-04-30,mercadolibre,jackets,1,25317,25317,3500,3291.21,28817,2023,4,2,6,True,Fall
1257,14,2023-05-01,mercadolibre,socks,2,4411,8822,3500,1146.86,12322,2023,5,2,0,False,Fall
1149,98,2023-05-01,mercadolibre,socks,1,3694,3694,5500,480.22,9194,2023,5,2,0,False,Fall
1816,346,2023-05-02,mercadolibre,pajamas,1,17483,17483,3500,2272.79,20983,2023,5,2,1,False,Fall
