customer_id,registration_date,region,acquisition_channel,nps_score,nps_category,total_transactions,total_revenue,avg_ticket,first_purchase,last_purchase,days_since_last_purchase,tenure_days,retargeting_segment,is_high_value,priority_winback
1,2023-05-21,Araucania,organic,5.0,Detractor,9.0,268360.0,29817.777777777777,2023-05-09,2024-11-26,65.0,567.0,Active,True,False
2,2024-12-31,Valparaiso,facebook_ads,,No Response,5.0,164575.0,32915.0,2023-02-26,2024-10-21,101.0,603.0,At Risk,True,False
3,2024-01-31,Metropolitana,instagram_ads,,No Response,12.0,283010.0,23584.166666666668,2023-03-11,2025-01-19,11.0,680.0,Active,True,False
4,2023-10-01,Maule,facebook_ads,9.0,Promoter,3.0,82302.0,27434.0,2023-03-16,2023-07-25,555.0,131.0,Dormant,False,False
5,2023-02-20,Araucania,google_ads,,No Response,7.0,200509.0,28644.14285714286,2023-06-11,2024-08-12,171.0,428.0,At Risk,True,False
6,2023-02-20,Metropolitana,mercadolibre_ads,,No Response,2.0,32720.0,16360.0,2023-11-08,2024-02-28,337.0,112.0,Dormant,False,False
7,2023-01-18,Los Lagos,mercadolibre_ads,9.0,Promoter,9.0,350895.0,38988.333333333336,2023-02-06,2024-10-03,119.0,605.0,At Risk,True,False
8,2024-08-26,OHiggins,instagram_ads,,No Response,8.0,214542.0,26817.75,2023-03-10,2025-01-18,12.0,680.0,Active,True,False
9,2023-10-03,Los Lagos,mercadolibre_ads,3.0,Detractor,5.0,209425.0,41885.0,2023-01-14,2024-07-22,192.0,555.0,Dormant,True,True
10,2024-01-05,Araucania,facebook_ads,,No Response,8.0,280106.0,35013.25,2023-02-11,2024-08-31,152.0,567.0,At Risk,True,False
11,2023-01-07,Biobio,mercadolibre_ads,,No Response,6.0,260619.0,43436.5,2023-01-31,2024-09-25,127.0,603.0,At Risk,True,False
12,2024-12-31,Valparaiso,instagram_ads,9.0,Promoter,6.0,143182.0,23863.666666666668,2023-04-15,2024-04-20,285.0,371.0,Dormant,True,True
13,2024-06-19,Los Lagos,instagram_ads,,No Response,5.0,140031.0,28006.2,2023-03-20,2024-08-18,165.0,517.0,At Risk,True,False
14,2023-03-13,OHiggins,organic,9.0,Promoter,6.0,197137.0,32856.166666666664,2023-05-01,2024-02-25,340.0,300.0,Dormant,True,True
15,2023-03-02,Metropolitana,google_ads,2.0,Detractor,7.0,312864.0,44694.857142857145,2023-01-14,2023-10-21,467.0,280.0,Dormant,True,True
16,2023-03-02,Metropolitana,facebook_ads,2.0,Detractor,8.0,199481.0,24935.125,2023-04-27,2024-11-09,82.0,562.0,Active,True,False
17,2023-04-19,Metropolitana,organic,,No Response,7.0,279375.0,39910.71428571428,2023-03-17,2024-08-23,160.0,525.0,At Risk,True,False
